,"Length on GhostRider","Total length","Resulting length on sensor board"
"Python3_clk_return-",9.729,169,159.271
"Python3_clk_return+",9.738,169,159.262
"Python3_DOUT3+",12.244,169,156.756
"Python3_DOUT3-",12.249,169,156.751
"Python3_DOUT2+",9.292,169,159.708
"Python3_DOUT2-",9.292,169,159.708
"Python3_DOUT1+",6.78,169,162.22
"Python3_DOUT1-",6.744,169,162.256
"Python3_DOUT0+",7.752,169,161.248
"Python3_DOUT0-",7.752,169,161.248
"Python3_SYNC+",5.71,169,163.29
"Python3_SYNC-",5.71,169,163.29
"Python2_clk_return-",10.571,95,84.429
"Python2_clk_return+",10.644,95,84.356
"Python2_DOUT3+",12.318,95,82.682
"Python2_DOUT3-",12.333,95,82.667
"Python2_DOUT2+",12.39,95,82.61
"Python2_DOUT2-",12.41,95,82.59
"Python2_DOUT1+",14.856,95,80.144
"Python2_DOUT1-",14.785,95,80.215
"Python2_DOUT0+",10.105,95,84.895
"Python2_DOUT0-",10.105,95,84.895
"Python2_SYNC+",8.712,95,86.288
"Python2_SYNC-",8.668,95,86.332
"Python1_clk_return-",8.155,64,55.845
"Python1_clk_return+",8.155,64,55.845
"Python1_DOUT3+",8.966,64,55.034
"Python1_DOUT3-",8.966,64,55.034
"Python1_DOUT2+",5.73,64,58.27
"Python1_DOUT2-",5.814,64,58.186
"Python1_DOUT1+",7.827,64,56.173
"Python1_DOUT1-",7.827,64,56.173
"Python1_DOUT0+",5.872,64,58.128
"Python1_DOUT0-",5.935,64,58.065
"Python1_SYNC+",10.594,64,53.406
"Python1_SYNC-",10.591,64,53.409
"Python_lvds_clk-",13.427,,-13.427
"Python_lvds_clk+",13.427,,-13.427
